Sample,Group,Detection threshold,Recognition threshold
A10,Youth,0.71902712,1.21095004
A11,Youth,0.71902712,1.21095004
A1,Youth,0.185903201,0.285657137
A20,Youth,0.432434966,0.71902712
A28,Youth,0.71902712,1.21095004
A29,Youth,0.285657137,1.21095004
A30,Youth,0.432434966,0.71902712
A6,Youth,0.432434966,1.21095004
A7,Youth,0.432434966,1.21095004
A9,Youth,0.71902712,0.71902712
B10,Elderly,9.295160031,9.295160031
B1,Elderly,15.49193338,15.49193338
B2,Elderly,15.49193338,15.49193338
B3,Elderly,9.295160031,9.295160031
B4,Elderly,25.81859795,25.81859795
B5,Elderly,25.81859795,25.81859795
B6,Elderly,25.81859795,25.81859795
B7,Elderly,25.81859795,25.81859795
B8,Elderly,9.295160031,9.295160031
B9,Elderly,9.295160031,9.295160031
